Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Qatar,Included / Europe,Price / Europe,Compare At Price / Europe,Included / Gulf expansion phase 1,Price / Gulf expansion phase 1,Compare At Price / Gulf expansion phase 1,Included / International,Price / International,Compare At Price / International,Status
general-purpose-diode-1a-400v-1n4004-5-pcs,General Purpose Diode 1A 400V - 1N4004 (5 pcs),"<h3>Description </h3>
<p><span>This is a simple, subminiature size, axial lead mounted rectifier diode. Often used for reverse voltage protection, the 1N4004 is a staple for many power, DC to DC step up, and breadboard projects. The 1N4004 is rated for up to 1A/400V.</span></p>",Voltaat,,COMP_Resis_Cap_Indu_Diode,,TRUE,Title,Default Title,,,,,VT-1586,0,shopify,1,deny,manual,1,,TRUE,TRUE,VT-1586,https://cdn.shopify.com/s/files/1/2822/2674/files/voltaat-comp-resis-cap-indu-diode-general-purpose-diode-1a-400v-1n4004-5-pcs-41573173035325.jpg?v=1687263240,1,Voltaat COMP_Resis_Cap_Indu_Diode General Purpose Diode 1A 400V - 1N4004 (5 pcs),FALSE,,,,,,,,,,,,,,,g,,0.2,TRUE,TRUE,,,TRUE,,,TRUE,,,active
general-purpose-diode-3a-600v-1n5406-5-pcs,General Purpose Diode 3A 600V - 1N5406 (5 pcs),"<h3>Description </h3>
<p><span>The 1N5404 is a power diode with its high forward current and reverse voltage and a power dissipation of 6.25W.</span></p>",Voltaat,,COMP_Resis_Cap_Indu_Diode,,TRUE,Title,Default Title,,,,,VT-1537,0,shopify,3,deny,manual,1,,TRUE,TRUE,VT-1537,https://cdn.shopify.com/s/files/1/2822/2674/files/voltaat-comp-resis-cap-indu-diode-general-purpose-diode-3a-600v-1n5406-5-pcs-41573063131453.jpg?v=1687262180,1,Voltaat COMP_Resis_Cap_Indu_Diode General Purpose Diode 3A 600V - 1N5406 (5 pcs),FALSE,,,,,,,,,,,,,,,g,,0.2,TRUE,TRUE,,,TRUE,,,TRUE,,,active
general-purpose-diode-3a-400v-1n5404-5-pcs,General Purpose Diode 3A 400V - 1N5404 (5 pcs),"<h3>Description </h3>
<p><span>The 1N5404 is a power diode with its high forward current and reverse voltage and a power dissipation of 6.25W.</span></p>",Voltaat,,COMP_Resis_Cap_Indu_Diode,,TRUE,Title,Default Title,,,,,VT-1538,0,shopify,2,deny,manual,1,,TRUE,TRUE,VT-1538,https://cdn.shopify.com/s/files/1/2822/2674/files/voltaat-comp-resis-cap-indu-diode-general-purpose-diode-3a-400v-1n5404-5-pcs-41573065163069.jpg?v=1687262163,1,Voltaat COMP_Resis_Cap_Indu_Diode General Purpose Diode 3A 400V - 1N5404 (5 pcs),FALSE,,,,,,,,,,,,,,,g,,0.2,TRUE,TRUE,,,TRUE,,,TRUE,,,active
clearance-sale-1n5817-schottky-diode-10-pcs,Clearance Sale: 1N5817 Schottky Diode (10 pcs),,Voltaat,,,,TRUE,Title,Default Title,,,,,,0,shopify,5,deny,manual,1,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/2822/2674/files/voltaat-clearance-sale-1n5817-schottky-diode-10-pcs-41573041045821.webp?v=1687261803,1,Voltaat Clearance Sale: 1N5817 Schottky Diode (10 pcs),FALSE,,,,,,,,,,,,,,,g,,0.4,TRUE,TRUE,,,TRUE,,,TRUE,,,active
clearance-sale-rl207-general-purpose-diode-10-pcs,Clearance Sale: RL207 General Purpose Diode (10 pcs),,Voltaat,,,,TRUE,Title,Default Title,,,,,,0,shopify,5,deny,manual,1,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/2822/2674/files/inhouse_uf4007_t_295c07dd-bf4d-4f8e-8abd-c58ebbc49765.webp?v=1687261626,1,,FALSE,,,,,,,,,,,,,,,g,,0.4,TRUE,TRUE,,,TRUE,,,TRUE,,,active
clearance-sale-fr201-general-purpose-diode-10-pcs,Clearance Sale: FR107 General Purpose Diode (10 pcs),,Voltaat,,,,TRUE,Title,Default Title,,,,,,0,shopify,5,deny,manual,1,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/2822/2674/files/voltaat-clearance-sale-fr107-general-purpose-diode-10-pcs-41573032296765.webp?v=1687261805,1,Voltaat Clearance Sale: FR107 General Purpose Diode (10 pcs),FALSE,,,,,,,,,,,,,,,g,,0.4,TRUE,TRUE,,,TRUE,,,TRUE,,,active
clearance-sale-fr207-general-purpose-diode-10-pcs,Clearance Sale: FR207 General Purpose Diode (10 pcs),,Voltaat,,,,TRUE,Title,Default Title,,,,,,0,shopify,1,deny,manual,1,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/2822/2674/files/voltaat-clearance-sale-fr207-general-purpose-diode-10-pcs-41573029019965.webp?v=1687261624,1,Voltaat Clearance Sale: FR207 General Purpose Diode (10 pcs),FALSE,,,,,,,,,,,,,,,g,,0.4,TRUE,TRUE,,,TRUE,,,TRUE,,,active
clearance-sale-uf4007-general-purpose-diode-10-pcs,Clearance Sale: UF4007 General Purpose Diode (10 pcs),,Voltaat,,,,TRUE,Title,Default Title,,,,,,0,shopify,5,deny,manual,1,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/2822/2674/files/voltaat-clearance-sale-uf4007-general-purpose-diode-10-pcs-41573022925117.webp?v=1687261620,1,Voltaat Clearance Sale: UF4007 General Purpose Diode (10 pcs),FALSE,,,,,,,,,,,,,,,g,,0.4,TRUE,TRUE,,,TRUE,,,TRUE,,,active
diode-schottky-3a-40v-1n5822-5-pcs,Diode Schottky  3A 40V - 1N5822 (5 pcs),"<h3>Description </h3>
<p><span>This 40 Volt 3A 2-Pin device is known for its low power loss &amp; high efficiency. Used in tons of applications, including in low voltage high frequency inverters, free-wheeling, and polarity protection applications.</span></p>",Voltaat,,COMP_Resis_Cap_Indu_Diode,,TRUE,Title,Default Title,,,,,VT-1549,0,shopify,2,deny,manual,1,,TRUE,TRUE,VT-1549,https://cdn.shopify.com/s/files/1/2822/2674/files/voltaat-comp-resis-cap-indu-diode-diode-schottky-3a-40v-1n5822-5-pcs-41566320427325.webp?v=1687190880,1,Voltaat COMP_Resis_Cap_Indu_Diode Diode Schottky  3A 40V - 1N5822 (5 pcs),FALSE,,,,,,,,,,,,,,,g,,0.27,TRUE,TRUE,,,TRUE,,,TRUE,,,active
general-purpose-diode-3a-1000v-1n5408-5-pcs,General Purpose Diode 3A 1000V - 1N5408 (5 pcs),"<h3>Description </h3>
<p><span>The </span>1N5408<span> diode is a low cost, high-current diode for circuit protection and voltage rectification. The 1N5408 diode has a continuous reverse voltage rating of 1000V and is suitable for high forward currents of up to 3A. The diode has a forward voltage drop of 1.2V.</span></p>",Voltaat,,COMP_Resis_Cap_Indu_Diode,,TRUE,Title,Default Title,,,,,VT-1548,0,shopify,2,deny,manual,1,,TRUE,TRUE,VT-1548,https://cdn.shopify.com/s/files/1/2822/2674/files/voltaat-comp-resis-cap-indu-diode-general-purpose-diode-3a-1000v-1n5408-5-pcs-41566278877501.webp?v=1687190520,1,Voltaat COMP_Resis_Cap_Indu_Diode General Purpose Diode 3A 1000V - 1N5408 (5 pcs),FALSE,,,,,,,,,,,,,,,g,,0.2,TRUE,TRUE,,,TRUE,,,TRUE,,,active
